X,Y,NOME,icon_url
12.1570922096053,42.9896266109317,MONUMENTO AI CADUTI DELLA PRIMA GUERRA MONDIALE,./0.png
12.1716013578432,42.979218521978,CISTERNA MEDIEVALE,./0.png
12.1563873864081,42.9690596005532,EDICOLA SACRA DEDICATA ALLA MADONNA,./0.png
12.1193075403023,42.9450188023963,CROCE DI MONTARALE (CROCE IN FERRO),./0.png
12.125328800694,42.9655330697778,CASCATA DI BORGA SALA,./0.png
12.1522306572719,42.945107896547,PARCO DELLA RIMEMBRANZA IN MEMORIA DEI CADUTI DI GREPPOLISCHIETO,./0.png
12.060050649475,42.9662224407732,BOSCO DI PIEGARO,./0.png
12.1194675136741,42.9458194942305,MONTE ARALE,./0.png
12.2061504378821,43.0019174974884,LAGO DI PIETRAFITTA,./0.png
12.087028794731,42.9701337241607,CIMINIERA IN MATTONI DELL'ANTICA VETRERIA,./0.png
12.0901154150798,42.9767373707249,VETRERIA,./0.png
12.0862013315012,42.9705600463392,EDIFICIO SEDE DEL COMUNE,./0.png
12.0848343753593,42.9700757568891,PARCO ROCOLO (GIARDINO PUBBLICO),./0.png
12.0876956668026,42.9719355419715,GLI ARCONI (MANUFATTO STORICO-ARCHITETTONICO),./0.png
12.086792548437,42.9712160041089,PORTA PERUGINA,./0.png
12.0867030432878,42.9711179137814,POZZO MEDIEVALE,./0.png
12.0866693340149,42.9702228290806,CIMINIERA DELL'ANTICA VETRERIA,./0.png
12.2351606436561,42.9801799534363,MURA MEDIEVALI,./0.png
